item_id,1,7,13,18,59,85,90,92,94,95,130,145,151,178,181,184,194,201,222,234,244,268,269,271,276,279,280,286,291,293,299,301,303,308,311,313,314,327,328,334,339,363,374,378,385,387,389,393,399,405,406,416,417,429,435,437,450,457,472,474,497,504,506,524,532,533,537,551,561,592,642,648,650,653,655,666,682,716,727,747,749,758,788,796,798,804,805,833,846,864,870,880,881,883,886,889,894,896,916,932
1,5.0,,3.0,5.0,2.0,,,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,,3.0,5.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,,,5.0,2.0,4.0,4.0,,4.0,4.0,3.0,4.0,,4.0,5.0,4.0,3.0,5.0,,4.0,4.0,5.0,,4.0,,,,5.0,4.0,2.0,,2.0,4.0,5.0,5.0,3.0,4.0,2.0,,4.0,5.0,3.0,5.0,4.0,,3.0,2.0,4.0,5.0,4.0,,,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0
2,3.0,,3.0,,,,,3.0,,2.0,4.0,,,4.0,,,,2.0,3.0,2.0,,2.0,,1.0,4.0,4.0,3.0,,,3.0,,2.0,3.0,,,,,2.0,,,,4.0,4.0,2.0,3.0,4.0,,4.0,3.0,1.0,,4.0,,3.0,4.0,,4.0,,5.0,,1.0,,4.0,,5.0,,,2.0,3.0,,4.0,4.0,3.0,1.0,3.0,,3.0,,4.0,,4.0,,,5.0,4.0,4.0,,,5.0,4.0,2.0,3.0,,,4.0,3.0,,3.0,3.0,
3,4.0,,,,4.0,,,,,1.0,5.0,3.0,,,2.0,,,,,,5.0,1.0,3.0,,3.0,,2.0,2.0,3.0,2.0,,2.0,3.0,,,,,,,,,,,,,,,3.0,,,3.0,,4.0,2.0,3.0,,4.0,,5.0,,4.0,,,,,,2.0,5.0,3.0,4.0,,,,,,,3.0,,,2.0,,,,,,,,,,,,1.0,,,3.0,4.0,,,3.0,
4,3.0,5.0,5.0,3.0,4.0,,,4.0,4.0,,2.0,,5.0,,,,4.0,4.0,3.0,4.0,,4.0,,5.0,4.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,,,,4.0,3.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,,4.0,2.0,4.0,3.0,4.0,4.0,,3.0,4.0,3.0,5.0,3.0,4.0,,4.0,5.0,3.0,2.0,2.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,5.0,3.0,2.0,,4.0,4.0,4.0,3.0,5.0,,4.0,2.0,3.0,5.0,4.0,2.0,4.0,3.0,4.0,3.0,3.0,,3.0,4.0,
5,3.0,,1.0,,,,,4.0,,,4.0,3.0,,,,,,,,3.0,,,2.0,,3.0,,4.0,,5.0,3.0,,,2.0,4.0,3.0,,4.0,,,,3.0,1.0,4.0,3.0,,,,3.0,3.0,4.0,4.0,,4.0,,2.0,2.0,,,,,,4.0,4.0,,,,,4.0,,,,4.0,,,2.0,2.0,3.0,,3.0,,,,,4.0,,,4.0,1.0,,4.0,,3.0,,,3.0,,,,3.0,
6,5.0,,,5.0,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,,
7,4.0,5.0,2.0,,4.0,,,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,3.0,,5.0,5.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,,,4.0,3.0,4.0,5.0,4.0,3.0,1.0,4.0,,5.0,,4.0,,,4.0,4.0,3.0,2.0,4.0,,4.0,4.0,5.0,5.0,3.0,,,2.0,5.0,,4.0,5.0,5.0,5.0,,3.0,4.0,2.0,3.0,4.0,4.0,,2.0,4.0,,5.0,4.0,,,4.0,5.0,3.0,,5.0,4.0,3.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0
8,1.0,5.0,4.0,5.0,,4.0,5.0,5.0,5.0,5.0,,,,4.0,,,3.0,3.0,1.0,5.0,,,2.0,4.0,4.0,,5.0,,4.0,3.0,,4.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,,5.0,,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,,3.0,3.0,4.0,,5.0,,5.0,,,5.0,,5.0,3.0,,,3.0,5.0,5.0,,,,3.0,,3.0,,,5.0,,5.0,,5.0,,,3.0,,4.0,5.0,,4.0,4.0,4.0,,3.0,,5.0,,
9,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,,,2.0,4.0,2.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,,4.0,4.0,5.0,,5.0,,5.0,,,3.0,5.0,4.0,4.0,,4.0,5.0,4.0,4.0,5.0,3.0,1.0,5.0,,,,4.0,3.0,,5.0,5.0,,,4.0,,,5.0,,5.0,,4.0,,,5.0,4.0,,5.0,4.0,5.0,,1.0,,,3.0,,3.0,,,5.0,3.0,,4.0,3.0,,,3.0,,,5.0,5.0,,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0
